V1,V2,V3
-25,58,-2764.74267578125
-24.933110367893,58,-2769.4326171875
-24.866220735786,58,-2772.02270507812
-24.7993311036789,58,-2778.28466796875
-24.7324414715719,58,-2796.5146484375
-24.6655518394649,58,-2804.7646484375
-24.5986622073579,58,-2810.32470703125
-24.5317725752508,58,-2816.87451171875
-24.4648829431438,58,-2834.14453125
-24.3979933110368,58,-2848.37451171875
-24.3311036789298,58,-2860.48461914062
-24.2642140468227,58,-2868.43041992188
-24.1973244147157,58,-2875.52026367188
-24.1304347826087,58,-2884.150390625
-24.0635451505017,58,-2898.13037109375
-23.9966555183947,58,-2902.93041992188
-23.9297658862876,58,-2922.70043945312
-23.8628762541806,58,-2928.14038085938
-23.7959866220736,58,-2938.6103515625
-23.7290969899666,58,-2950.08251953125
-23.6622073578595,58,-2956.01245117188
-23.5953177257525,58,-2952.25244140625
-23.5284280936455,58,-2961.46264648438
-23.4615384615385,58,-2963.13256835938
-23.3946488294314,58,-2964.37255859375
-23.3277591973244,58,-2968.05249023438
-23.2608695652174,58,-2974.82250976562
-23.1939799331104,58,-2985.1796875
-23.1270903010033,58,-2987.43969726562
-23.0602006688963,58,-2988.97973632812
-22.9933110367893,58,-2989.97973632812
-22.9264214046823,58,-2986.65966796875
-22.8595317725753,58,-2987.4697265625
-22.7926421404682,58,-2991.099609375
-22.7257525083612,58,-2991.14965820312
-22.6588628762542,58,-2990.62109375
-22.5919732441472,58,-2987.84106445312
-22.5250836120401,58,-2981.53100585938
-22.4581939799331,58,-2977.34106445312
-22.3913043478261,58,-2977.66088867188
-22.3244147157191,58,-2977.41088867188
-22.257525083612,58,-2973.2509765625
-22.190635451505,58,-2968.19091796875
-22.123745819398,58,-2975.09008789062
-22.056856187291,58,-3006.67016601562
-21.9899665551839,58,-3033.580078125
-21.9230769230769,58,-3013.47998046875
-21.8561872909699,58,-3027.59008789062
-21.7892976588629,58,-3020.39013671875
-21.7224080267559,58,-3007.18017578125
-21.6555183946488,58,-2998.5400390625
-21.5886287625418,58,-3001.2470703125
-21.5217391304348,58,-3004.39721679688
-21.4548494983278,58,-2998.88720703125
-21.3879598662207,58,-2985.01708984375
-21.3210702341137,58,-2972.1171875
-21.2541806020067,58,-2964.96704101562
-21.1872909698997,58,-2886.84716796875
-21.1204013377926,58,-2746.47705078125
-21.0535117056856,58,-2563.1513671875
-20.9866220735786,58,-2400.00146484375
-20.9197324414716,58,-2319.78125
-20.8528428093645,58,-2148.83129882812
-20.7859531772575,58,-2029.24133300781
-20.7190635451505,58,-2031.71142578125
-20.6521739130435,58,-2076.22143554688
-20.5852842809365,58,-2225.94140625
-20.5183946488294,58,-2346.91845703125
-20.4515050167224,58,-2371.82836914062
-20.3846153846154,58,-2313.36840820312
-20.3177257525084,58,-2116.86840820312
-20.2508361204013,58,-1932.16833496094
-20.1839464882943,58,-1813.08837890625
-20.1170568561873,58,-1743.44836425781
-20.0501672240803,58,-1700.93835449219
-19.9832775919732,58,-1685.77758789062
-19.9163879598662,58,-1649.41760253906
-19.8494983277592,58,-1627.98754882812
-19.7826086956522,58,-1552.78759765625
-19.7157190635452,58,-1467.87756347656
-19.6488294314381,58,-1397.25756835938
-19.5819397993311,58,-1341.2275390625
-19.5150501672241,58,-1300.71752929688
-19.4481605351171,58,-1276.56005859375
-19.38127090301,58,-1254.32006835938
-19.314381270903,58,-1215.1201171875
-19.247491638796,58,-1131.28002929688
-19.180602006689,58,-1079.27001953125
-19.1137123745819,58,-1038.28002929688
-19.0468227424749,58,-959.470031738281
